post_id,title,category,score,num_comments,author,collected_at,title_length,engagement,score_per_comment,rank_in_category
47655408,Show HN: I built a tiny LLM to demystify how language models work,technology,129,9,armanified,2026-04-06 03:42:35,65,138,12.9,12.0
47655392,"Show HN: YouTube search barely works, I made a search form with advanced filters",entertainment,99,73,nevernothing,2026-04-06 03:42:35,80,172,1.337837837837838,14.0
47637377,LÖVE: 2D Game Framework for Lua,sports,231,92,cl3misch,2026-04-06 03:42:35,31,323,2.4838709677419355,3.0
47648828,"Eight years of wanting, three months of building with AI",technology,670,209,brilee,2026-04-06 03:42:35,56,879,3.1904761904761907,2.0
47655329,"Copilot is 'for entertainment purposes only', per Microsoft's terms of use",technology,38,11,airstrike,2026-04-06 03:42:35,74,49,3.1666666666666665,19.0
47636765,Endian wars and anti-portability: this again?,worldnews,24,21,awilfox,2026-04-06 03:42:35,45,45,1.0909090909090908,14.0
47655367,"Show HN: Gemma Gem – AI model embedded in a browser – no API keys, no cloud",entertainment,24,1,ikessler,2026-04-06 03:42:35,75,25,12.0,19.0
47651540,Running Gemma 4 locally with LM Studio's new headless CLI and Claude Code,technology,212,55,vbtechguy,2026-04-06 03:42:35,73,267,3.7857142857142856,7.0
47655466,Employers use your personal data to figure out the lowest salary you'll accept,technology,111,45,thisislife2,2026-04-06 03:42:35,78,156,2.4130434782608696,13.0
47655268,"Show HN: Modo – I built an open-source alternative to Kiro, Cursor, and Windsurf",entertainment,19,2,mohshomis,2026-04-06 03:42:35,80,21,6.333333333333333,20.5
47652322,Music for Programming,entertainment,121,51,merusame,2026-04-06 03:42:35,21,172,2.326923076923077,11.0
47655058,OpenAI's fall from grace as investors race to Anthropic,technology,110,65,1vuio0pswjnm7,2026-04-06 03:42:35,55,175,1.6666666666666667,14.0
47650502,Computational Physics (2nd Edition) (2025),science,111,17,teleforce,2026-04-06 03:42:35,42,128,6.166666666666667,4.0
47650312,A tail-call interpreter in (nightly) Rust,technology,135,23,g0xA52A2A,2026-04-06 03:42:35,41,158,5.625,11.0
47655721,LLMs can't justify their answers–this CLI forces them to,technology,6,2,volatilityfund,2026-04-06 03:42:35,56,8,2.0,24.0
47649742,Nanocode: The best Claude Code that $200 can buy in pure JAX on TPUs,technology,172,24,desideratum,2026-04-06 03:42:35,68,196,6.88,9.0
47655078,Show HN: Mdarena – Benchmark your Claude.md against your own PRs,entertainment,14,1,hudsongr,2026-04-06 03:42:35,64,15,7.0,22.0
47652549,Iran's IRGC Publishes Satellite Imagery of OpenAI's $30B Stargate Datacenter,technology,21,5,alvivanco,2026-04-06 03:42:35,76,26,3.5,22.0
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,839,565,zaikunzhang,2026-04-06 03:42:35,74,1404,1.482332155477032,1.0
47651479,From birds to brains: My path to the fusiform face area (2024),technology,35,0,everbody,2026-04-06 03:42:35,62,35,35.0,20.0
47655155,'Cognitive Surrender' Is a New and Useful Term for How AI Melts Brains,technology,26,3,mikhael,2026-04-06 03:42:35,70,29,6.5,21.0
47640728,Show HN: A game where you build a GPU,sports,900,179,Jaso1024,2026-04-06 03:42:35,37,1079,5.0,1.0
47646504,Show HN: OsintRadar – Curated directory for osint tools,entertainment,67,6,lexalizer,2026-04-06 03:42:35,55,73,9.571428571428571,15.0
47653471,"Musician says AI company is cloning her music, filing claims against her",entertainment,105,13,lando2319,2026-04-06 03:42:35,72,118,7.5,13.0
47648404,My Google Workspace account suspension,science,340,195,zenincognito,2026-04-06 03:42:35,38,535,1.7346938775510203,2.0
47640380,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,498,229,naves,2026-04-06 03:42:35,63,727,2.1652173913043478,4.0
47645025,Show HN: Contrapunk – Real-time counterpoint harmony from guitar input,entertainment,111,47,waveywaves,2026-04-06 03:42:35,70,158,2.3125,12.0
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,entertainment,157,25,laszlokorte,2026-04-06 03:42:35,61,182,6.038461538461538,8.0
47649811,"Japanese, French and Omani vessels cross Strait of Hormuz",technology,146,198,vrganj,2026-04-06 03:42:35,57,344,0.7336683417085427,10.0
47652290,Samsung Raises DRAM Prices Another ~30% for Q2 2026,technology,42,9,jeffufl,2026-04-06 03:42:35,51,51,4.2,18.0
47649117,Someone at BrowserStack is leaking users' email addresses,technology,367,99,m_km,2026-04-06 03:42:35,57,466,3.67,5.0
47587089,"Zml-smi: universal monitoring tool for GPUs, TPUs and NPUs",technology,76,11,steeve,2026-04-06 03:42:35,58,87,6.333333333333333,16.0
